time,level,level_2,air_flow,air_flow_2,brightness
2021-01-01 00:00:00,58.523406396808255,57.24482286823779,15.901533343834307,720.9312281653824,104.75291617711385
2021-01-01 04:00:00,58.68006619717509,56.926777254432906,15.813703018968218,724.5638816567903,105.16166734695436
2021-01-01 08:00:00,60.31768771743207,55.84796871075211,15.656056177544423,718.9876354145566,105.3704166094462
2021-01-01 12:00:00,59.44013607986052,56.60797633859292,15.723029692144378,725.1282220767421,105.48583354949952
2021-01-01 16:00:00,59.62195458741099,56.48549676192826,15.689798603903611,737.9835887876396,104.9199995994568
2021-01-01 20:00:00,59.37694368016742,56.52741353407726,15.701490462133004,747.9785357545626,104.56333354314168
2021-01-02 00:00:00,58.89785873674255,56.57735843763503,15.715963153223534,720.5612418436543,105.26833238601684
2021-01-02 04:00:00,61.02867308472382,54.824260235674,15.229132034434723,709.5138055884078,105.11750030517578
2021-01-02 08:00:00,62.55206904112749,54.216447492395474,15.05888856933791,729.8159248075211,105.3100001335144
2021-01-02 12:00:00,60.67645090373416,54.7775791041156,15.21408785110847,745.1119904539249,105.56333236694336
2021-01-02 16:00:00,59.49777516244893,56.63971693304117,15.733700913390514,725.2966819199737,105.0058333714803
2021-01-02 20:00:00,61.46524487757029,58.43812940015582,16.23195765915785,740.5280369692448,104.94499988555908
2021-01-03 00:00:00,58.89321028939437,57.569547668451634,15.989253928221698,732.7211928006942,104.82208499908448
2021-01-03 04:00:00,60.03999253337563,58.01044246991197,16.11287253549817,763.1375597970978,104.97874927520752
2021-01-03 08:00:00,59.07705297569317,58.29843419644066,16.19356169628835,749.9854766070456,104.6712487220764
2021-01-03 12:00:00,58.948940793522965,58.77266678039262,16.324621074727272,732.3612435299757,104.83749984105428
2021-01-03 16:00:00,58.9495275095497,58.86388656771135,16.351819808749962,737.0605351043077,104.42541694641112
2021-01-03 20:00:00,58.7475020075787,58.92328213037039,16.366280340010746,750.0591950343318,104.63624992370606
2021-01-04 00:00:00,58.25114657468368,58.03310965134172,16.1185785524726,731.0726381834926,104.88791796366374
2021-01-04 04:00:00,58.47983089628892,57.95174464531968,16.097974851373717,726.9666130550488,104.33249928156536
2021-01-04 08:00:00,57.05276433784751,58.44000790359312,16.235650696517457,753.447541912507,104.47458372116088
2021-01-04 12:00:00,58.17528103754925,58.49717690469663,16.248306718031202,743.0398193757094,104.85875097910564
2021-01-04 16:00:00,59.59864447010174,58.291444135274055,16.192090958824792,720.6125193934818,104.80083411534628
2021-01-04 20:00:00,58.488306232890544,58.94017311743786,16.372055987073292,720.367562793583,105.0
2021-01-05 00:00:00,59.78788732871808,59.0794290874577,16.411235046010546,751.5831852129933,104.98083362579344
2021-01-05 04:00:00,60.72366952575931,56.81363301448455,15.780816678022504,771.9815725357652,105.0795831680298
2021-01-05 08:00:00,60.91892612217001,55.48500117804088,15.411416418572529,756.2569254675789,104.84375133514403
2021-01-05 12:00:00,59.52244382107892,54.72593200518586,15.200401568852367,723.3108584844798,105.83208284378053
2021-01-05 16:00:00,56.62542143177553,58.41968284508452,16.22777977650394,705.3725036194766,107.29624967575072
2021-01-05 20:00:00,57.94394891995983,59.11575510905893,16.420847670763365,699.0717327434255,107.52583287556966
2021-01-06 00:00:00,59.72784784951136,58.81952903068197,16.338127551440536,754.2241950820085,107.62458353042602
2021-01-06 04:00:00,61.42985113634241,59.119384002190266,16.42145294331434,737.7897943285991,105.86791690190633
2021-01-06 08:00:00,60.371787153670624,59.550764486374746,16.541322037545022,727.477105477156,104.68791659673056
2021-01-06 12:00:00,58.86306649708937,57.99490282348232,16.11048177299819,735.2885022435595,104.30083322525024
2021-01-06 16:00:00,59.79597981317673,57.61558119521987,16.00413721163079,741.1603843710199,104.81999944051108
2021-01-06 20:00:00,59.49541156565957,57.87918824311864,16.0771755165439,733.2125759493979,105.0374994277954
2021-01-07 00:00:00,58.29138243769375,59.53326291967329,16.537157005404545,703.4053280140838,104.87416677474975
2021-01-07 04:00:00,57.68543529505474,56.56549999668968,15.711363906026076,718.326923692932,104.65874862670898
2021-01-07 08:00:00,57.326951885464815,57.22116163225184,15.89395994344727,727.8713729889838,104.65874862670898
2021-01-07 12:00:00,59.277115553421616,58.18404976854072,16.162615207199988,736.5662411271683,104.8329174041748
2021-01-07 16:00:00,60.26980984409102,57.88281535071038,16.077289665899876,760.7947697620488,104.95124985376994
2021-01-07 20:00:00,59.90166372732981,57.82184382176956,16.062024544599453,734.9906161718932,104.80250078837076
2021-01-08 00:00:00,57.60290751292367,58.61725965058847,16.28174782623726,683.9836526035766,104.99416675567628
2021-01-08 04:00:00,59.61471551682962,59.66614373404715,16.574480787683147,683.8373648018909,104.67791601816812
2021-01-08 08:00:00,59.12365647850609,58.99050258449598,16.383659595619296,708.3959579768557,104.3699990272522
2021-01-08 12:00:00,58.30019825700321,56.243077593693904,15.622436681975069,771.1943565397543,104.91458301544188
2021-01-08 16:00:00,57.272714760478806,56.304323944813824,15.639298365760826,759.884519369266,105.31041615804035
2021-01-08 20:00:00,57.55028873553388,57.33450713535508,15.925215918681,752.563245230668,104.82791573206585
2021-01-09 00:00:00,57.94129274843274,58.44742871563293,16.235683654023514,739.8129272598494,104.54249998728434
2021-01-09 04:00:00,59.91332734061401,58.56552331694429,16.268141912499953,739.0598126100331,104.80583318074544
2021-01-09 08:00:00,60.05160094702541,59.48159103871736,16.522602611651244,735.2109684965502,104.92000122070311
2021-01-09 12:00:00,57.73556648417004,58.8890683383233,16.35974811916686,743.0761522906723,105.15208206176756
